<----Clip Here for Data----->
HGNC ID	Approved Name	Aliases	Name Aliases	Pubmed IDs
5	alpha-1-B glycoprotein			2591067
24086	APOBEC1 complementation factor	ACF, ASP, ACF64, ACF65, APOBEC1CF		11815617, 11072063
25100	AIG2-like domain 1	LOC87769		
7	alpha-2-macroglobulin	FWP007, S863-7, CPAMD5		
23336	alpha-2-macroglobulin-like 1	FLJ25179		16298998
8	alpha-2-macroglobulin pseudogene			2478422
30005	alpha 1,3-galactosyltransferase 2	IGBS3S	"iGb3 synthase", "isoglobotriaosylceramide synthase"	10854427, 18630988
18149	alpha 1,4-galactosyltransferase	A14GALT	"Gb3 synthase", "CD77 synthase", "globotriaosylceramide synthase"	10854428
17968	alpha-1,4-N-acetylglucosaminyltransferase	alpha4GnT		10430883
13666	achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)		"aladin"	11062474
15	arylamide acetylase pseudogene	NATP		2340091, 9284941
21298	acetoacetyl-CoA synthetase	FLJ12389, SUR-5, ACSF1	"acyl-CoA synthetase family member 1"	12623130, 17762044
18226	acetoacetyl-CoA synthetase-like			
17	arylacetamide deacetylase (esterase)	DAC, CES5A1		8063807
24427	arylacetamide deacetylase-like 2	MGC72001		
32037	arylacetamide deacetylase-like 3	OTTHUMG00000001887		
32038	arylacetamide deacetylase-like 4	OTTHUMG00000001889		
17929	aminoadipate aminotransferase	KATII, KAT2	"kynurenine aminotransferase II", "L kynurenine/alpha aminoadipate aminotransferase"	12126930, 10441733
25662	alpha- and gamma-adaptin binding protein	FLJ11506, p34		11230166, 10477754
19679	AP2 associated kinase 1	KIAA1048, DKFZp686K16132		11877461, 12471243
18	angio-associated, migratory cell protein			7743515
19	arylalkylamine N-acetyltransferase	SNAT		8661026
20	alanyl-tRNA synthetase		"alanine tRNA ligase 1, cytoplasmic"	8595897
21022	alanyl-tRNA synthetase 2, mitochondrial (putative)	KIAA1270, bA444E17.1	"alanine tRNA ligase 2, mitochondrial (putative)"	15779907
28417	alanyl-tRNA synthetase domain containing 1	MGC2744		
23993	aminoadipate-semialdehyde dehydrogenase	NRPS998, LYS2, ACSF4	"acyl-CoA synthetase family member 4"	15865210, 12712191, 17762044
14235	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	LYS5, CGI-80, AASD-PPT		12815048, 11286508
17366	aminoadipate-semialdehyde synthase	LORSDH, LKRSDH		10775527
19235	apoptosis antagonizing transcription factor	DED, CHE-1, CHE1		11027528, 10783144
21	apoptosis-associated tyrosine kinase	AATYK, KIAA0641, LMTK1, LMR1, AATYK1	"lemur tyrosine kinase 1"	9734811, 10083745
22	adeno-associated virus integration site 1	AAV		1334463
23	4-aminobutyrate aminotransferase	GABAT	"4-aminobutyrate transaminase"	7721088
29	ATP-binding cassette, sub-family A (ABC1), member 1	TGD	"Tangier disease"	8088782
32	ATP-binding cassette, sub-family A (ABC1), member 2			8088782
33	ATP-binding cassette, sub-family A (ABC1), member 3	ABC-C, EST111653, LBM180		8706931
34	ATP-binding cassette, sub-family A (ABC1), member 4	FFM, ARMD2	"Stargardt disease"	9490294
35	ATP-binding cassette, sub-family A (ABC1), member 5	EST90625		8894702
36	ATP-binding cassette, sub-family A (ABC1), member 6	EST155051		8894702
37	ATP-binding cassette, sub-family A (ABC1), member 7	ABCX		
38	ATP-binding cassette, sub-family A (ABC1), member 8	KIAA0822		
39	ATP-binding cassette, sub-family A (ABC1), member 9	EST640918		
30	ATP-binding cassette, sub-family A (ABC1), member 10	EST698739		12821155, 11435397
31	ATP-binding cassette, sub-family A (ABC1), member 11 (pseudogene)	EST1133530, FLJ14297		
14637	ATP-binding cassette, sub-family A (ABC1), member 12	DKFZP434G232, LI2, ICR2B	"ichthyosis congenita II, lamellar ichthyosis B"	11435397, 12915478
14638	ATP-binding cassette, sub-family A (ABC1), member 13	FLJ33876, FLJ33951		12697998
